年,月,日,描述,类别,金额,纬度,经度
2023,1,29,肥皂液  纸币袋子,🛒生活费,JP¥3422,35.1520288113432,136.9581841827640
2023,2,1,食堂,🛒生活费,JP¥440,35.1556250170335,136.9691716049140
2023,2,1,食堂,🛒生活费,JP¥550,35.1536430119663,136.9628661773940
2023,2,1,IIP2023登録費,💼公费支出,JP¥10000,35.1544262023961,136.9614688140500
2023,2,2,食堂,🛒生活费,JP¥429,35.1556059812725,136.9692053771410
2023,2,2,Widget Web,🛒生活费,CN¥18.00,35.1520582102566,136.9582284150050
2023,2,3,超市,🛒生活费,JP¥3822,35.1614288181940,136.9241504349200
2023,2,3,物产店,🛒生活费,CN¥177.86,35.1654324087142,136.9124802533860
2023,2,3,麻辣烫,🍻社交费,CN¥120.00,35.1663089261911,136.9152887536670
2023,2,4,自助烤肉,🍻社交费,JP¥3828,35.1420576865370,136.9564332953980
2023,2,4,水族馆门票,🍻社交费,JP¥2440,35.0920296181320,136.8785302621650
2023,2,4,公交地铁,🍻社交费,JP¥620,35.1489386903948,136.9480927556940
2023,2,5,超市,🛒生活费,JP¥1845,35.1367446162163,136.9633751963510
2023,2,5,理发,🛒生活费,JP¥1200,35.1364423619006,136.9627915459500
2023,2,6,糕点,🛒生活费,JP¥128,35.1540806796729,136.9629775175230
2023,2,6,食堂,🛒生活费,JP¥506,35.1564641995682,136.9658128639090
2023,2,7,摄影课程,👔服饰•趣味费,CN¥6.00,35.1544262023961,136.9614688140500
2023,2,7,食堂,🛒生活费,JP¥484,35.1535245203654,136.9627759178520
2023,2,8,食堂,🛒生活费,JP¥506,35.1565635788708,136.9659236189710
2023,2,8,IIP2023新幹線,💼公费支出,JP¥27220,35.1566690532818,136.9655436371790
2023,2,9,超市,🛒生活费,JP¥1536,35.1534661408539,136.9503577712010
2023,2,9,食堂,🛒生活费,JP¥638,35.1535315716070,136.9627726702810
2023,2,9,咖啡,🛒生活费,JP¥110,35.1538773347019,136.9629162458110
2023,2,10,咖啡,🛒生活费,JP¥110,35.1545603530756,136.9614839249760
2023,2,10,食堂,🛒生活费,JP¥587,35.1536737382739,136.9628883340740
2023,2,10,《正しい家計管理　長期プラン編》,📖自我投资,JP¥1603,35.1543389025448,136.9617584666940
2023,2,11,回锅肉定食,🛒生活费,JP¥1000,35.1429242936629,136.9560119375810
2023,2,12,水,🛒生活费,JP¥108,35.1569828752597,136.9584416752350
2023,2,12,超市,🛒生活费,JP¥2533,35.1533813325365,136.9502467859560
2023,2,13,咖啡,🛒生活费,JP¥110,35.1545840533193,136.9614637486770
2023,2,13,食堂,🛒生活费,JP¥550,35.1535127573646,136.9627039876040
2023,2,14,食堂,🛒生活费,JP¥627,35.1564543927416,136.9661583659580
2023,2,15,食堂,🛒生活费,JP¥627,35.1565699672258,136.9659301833250
2023,2,16,食堂,🛒生活费,JP¥473,35.1536289452978,136.9628487285940
2023,2,17,天妇罗面 阿凡达电影,🍻社交费,JP¥3036,35.1176368972196,137.0227735838950
2023,2,18,超市,🛒生活费,JP¥3718,35.1535705570458,136.9505168964490
2023,2,20,食堂,🛒生活费,JP¥561,35.15652756923630,136.9657879086410
2023,2,20,鸡蛋,🛒生活费,JP¥104,35.15409910739180,136.9631943710210
2023,2,21,食堂,🛒生活费,JP¥550,35.15364029609610,136.9628770327390
2023,2,21,咖啡,🛒生活费,CN¥3.62,35.15392556066850,136.9630162267970
2023,2,21,地铁,🍻社交费,JP¥210,35.1372783061281,136.9633880552780
2023,2,21,居酒屋,🍻社交费,JP¥2700,35.13796324379290,136.9625518006620
2023,2,22,笔记本,👔服饰•趣味费,JP¥580,35.136987299874,136.9633447491750
2023,2,22,牛肉饭,🛒生活费,JP¥643,35.14312542974520,136.9555577187600
2023,2,22,咖啡,🛒生活费,JP¥386,35.14537839730510,136.9587846447730
2023,2,23,便当,🛒生活费,JP¥550,35.15422536362880,136.9631646508820
2023,2,23,AutoSleep,🛒生活费,CN¥30.00,35.15213882531520,136.958090721684
2023,2,24,Bullet Journal,📖自我投资,JP¥1760,35.15453954955540,136.9615000866580
2023,2,24,食堂,🛒生活费,JP¥616,35.15659877102370,136.9659025502740
2023,2,25,咳嗽药,💊健康医药费,JP¥3680,35.13084225311760,136.9547497558100
2023,2,25,意面,🛒生活费,JP¥267,35.13671261500730,136.9631229463700
2023,2,25,墨水,👔服饰•趣味费,JP¥393,35.13690425582460,136.9632244525830
2023,2,25,超市买菜,🛒生活费,JP¥4281,35.13701021410390,136.9633012803280
2023,2,25,超市买菜,🛒生活费,JP¥3438,35.15335895590030,136.9502088615080
2023,2,26,公交,🛒生活费,JP¥210,35.1640442852233,136.9086911849320
2023,2,26,地铁,🛒生活费,JP¥240,35.16365011798490,136.9087297184180
2023,2,26,便当,🛒生活费,JP¥590,35.15209098497850,136.9580995849810
2023,2,27,Pilot Capless Decimo,👔服饰•趣味费,JP¥12815,35.15226692469150,136.9581466179220
2023,2,27,修正带,👔服饰•趣味费,JP¥440,35.15657347494600,136.9658228499950
2023,2,27,食堂,🛒生活费,JP¥572,35.15656957735310,136.9659494233110
2023,2,27,修正带,👔服饰•趣味费,JP¥410,35.15216947761620,136.9581444948610
2023,2,27,笔袋,👔服饰•趣味费,JP¥970,35.15211707638410,136.9581508362540
2023,2,28,食堂,🛒生活费,JP¥473,35.15562415242220,136.9691541727420
2023,2,28,尺子 橡皮,👔服饰•趣味费,JP¥333,35.15572672854030,136.9689002940110
2023,2,28,KOKUYO活页纸A5,👔服饰•趣味费,JP¥255,35.15673912930550,136.9654798488690
2023,2,28,咖啡,🛒生活费,CN¥3.60,35.15410256535900,136.9631209343940
2023,2,28,地铁,🛒生活费,JP¥210,35.13728643486470,136.963371819474
2023,2,28,多色笔,👔服饰•趣味费,JP¥880,35.13688265928110,136.9632838543860
2023,3,1,滤网,🛒生活费,JP¥217,35.15342287413890,136.9503881234520
2023,3,1,超市买菜,🛒生活费,JP¥1503,35.15338397588130,136.9503999689010
2023,3,2,食堂,🛒生活费,JP¥634,35.15351318729600,136.9627859149260
2023,3,2,地铁,💊健康医药费,JP¥240,35.13058717726280,136.9543848497140
2023,3,2,花粉症治疗药,💊健康医药费,JP¥2080,35.1307424856678,136.9544235338800
2023,3,2,地铁,🛒生活费,JP¥210,35.13059568508350,136.9544124683680
2023,3,3,荧光笔套装,👔服饰•趣味费,JP¥443,35.15213964935200,136.958027569125
2023,3,3,便签纸,👔服饰•趣味费,JP¥636,35.156698665639,136.965826281388000
2023,3,3,食堂,🛒生活费,JP¥484,35.15678061641300,136.9661484753130
2023,3,3,咖啡,🛒生活费,JP¥129,35.15401988831080,136.963042045277
2023,3,3,铅笔替芯金属壳,👔服饰•趣味费,JP¥1645,35.15451719123610,136.9615298780440
2023,3,4,地铁,👔服饰•趣味费,JP¥210,35.1544221940275,136.9665078708350
2023,3,4,注射器,👔服饰•趣味费,JP¥110,35.1368330582995,136.9632534905750
2023,3,4,地铁,👔服饰•趣味费,JP¥270,35.16981497675830,136.9066481815750
2023,3,4,Pilot Capless Decimo EF,👔服饰•趣味费,JP¥16940,35.16813945356350,136.9057502542470
2023,3,4,公交,👔服饰•趣味费,JP¥210,35.16627965963930,136.909164525696
2023,3,4,外卖,🛒生活费,JP¥1238,35.15209349377140,136.9581735156890
2023,3,5,地铁,💼公费支出,JP¥240,35.1530149563135,136.9656253611570
2023,3,5,铁道博物馆,💼公费支出,JP¥300,33.94309868537,130.9618499570720
2023,3,5,交通,💼公费支出,JP¥280,33.94288265949790,130.9619064037890
2023,3,5,铁道博物馆纪念品,💼公费支出,JP¥1320,33.94588366186310,130.9640139730840
2023,3,5,交通费,💼公费支出,JP¥280,33.88590725080620,130.8825535506940
2023,3,5,一兰拉面,💼公费支出,JP¥1620,33.8849060191158,130.8806035482610
2023,3,5,面包,💼公费支出,JP¥723,33.88556404042420,130.8808092401650
2023,3,5,住宿费2晚 Daiwa Roynet Hotel,💼公费支出,JP¥11538,33.88459380290850,130.8809172248980
2023,3,6,开会师生聚餐,💼公费支出,JP¥4000,33.88457622602500,130.8808276470850
2023,3,6,水 咖啡,💼公费支出,JP¥249,33.8845811363914,130.8808012450000
2023,3,6,荞麦面,💼公费支出,JP¥1400,33.89418924009840,130.839107949355
2023,3,6,交通,💼公费支出,JP¥680,33.89422301703720,130.8391102400250
2023,3,6,交通,💼公费支出,JP¥210,33.88458408822870,130.880994886875
2023,3,6,水 咖啡,💼公费支出,JP¥239,33.88458264000030,130.8808808040390
2023,3,6,面包,💼公费支出,JP¥885,33.88461809170540,130.8809059624080
2023,3,7,吉野家,💼公费支出,JP¥643,33.88550010165970,130.88107086642
2023,3,7,交通,💼公费支出,JP¥210,33.87116017793670,130.808323601872
2023,3,7,いのちのたび自然博物館,💼公费支出,JP¥1100,33.869251378157500,130.80854332269900
2023,3,7,交通,💼公费支出,JP¥280,33.88702077328590,130.8826127742710
