年,月,日,描述,类别,金额,纬度,经度
2023,5,20,水饭团,🛒生活费,JP¥249,35.16271973963380,136.9401672576900
2023,5,20,伊勢神宮,🍻社交,CN¥420.00,34.45629365152330,136.72513488369600
2023,5,20,夫婦岩,🍻社交,CN¥0.00,34.50913397462880,136.78832694844500
2023,5,20,鳥羽展望台,🍻社交,CN¥0.00,34.42761101497500,136.9150328609340
2023,5,21,超市买菜,🛒生活费,JP¥4480,35.15340387196740,136.9503736456530
2023,5,23,食堂,🛒生活费,JP¥822,35.15562484948620,136.9690984933690
2023,5,24,超市买菜,🛒生活费,JP¥3144,35.15215456221760,136.9580822300550
2023,5,25,食堂,🛒生活费,JP¥472,35.15553947201210,136.9692571813710
2023,5,25,饭团,🛒生活费,JP¥120,35.15409070295920,136.9631765388890
2023,5,26,超市买菜,🛒生活费,JP¥576,35.15210464928380,136.9580376345660
2023,5,26,萨利亚,🍻社交,JP¥3900,35.15213497245850,136.9581233427350
2023,5,27,地铁,🛒生活费,JP¥210,35.13725992392200,136.9634240611950
2023,5,27,洗衣液,🛒生活费,JP¥299,35.13680657937630,136.9632672719020
2023,5,27,垃圾袋,🛒生活费,JP¥220,35.13676756519730,136.9630329212520
2023,5,27,冰箱除味剂,🛒生活费,JP¥655,35.13647272727000,136.9628539823090
2023,5,27,理发,🛒生活费,JP¥1350,35.1364491562473,136.962747699998
2023,5,27,猕猴桃大盒 麦茶,🛒生活费,JP¥1045,35.13684727316520,136.9633626419300
2023,5,27,地铁,🛒生活费,JP¥240,35.13726210038850,136.9634249188610
2023,5,27,运动短裤,🥳趣味,JP¥3289,35.18829874752230,136.9557796382330
2023,5,27,地铁,🛒生活费,JP¥240,35.15451598789640,136.966511653804
2023,5,29,寄行李回国,🛒生活费,JP¥7400,35.15454754464030,136.9615316499000
2023,5,29,鞋 adidas Campus 00s,🥳趣味,JP¥13450,35.15211134344010,136.9581490752000
2023,5,29,烤肉,🍻社交,JP¥8096,35.15208793679800,136.958153346935
2023,5,29,POLYESTER COTTON FEEL T-SHIRT WHITE,🥳趣味,JP¥11000,35.15219734626280,136.9581366534910
2023,5,30,果汁,🛒生活费,JP¥108,35.15411718286120,136.9625799638560
2023,5,30,外卖,🛒生活费,JP¥1142,35.15207298060440,136.9581151646910
2023,5,31,超市买菜,🛒生活费,JP¥3319,35.15205063877950,136.9581575305130
2023,6,1,饭团,🛒生活费,JP¥120,35.15416638463280,136.9627109730030
2023,6,2,多种维生素 维生素B 锌,💊健康医药,JP¥5053,35.15208714660720,136.9581298303030
2023,6,3,八百鲜,🛒生活费,JP¥4257,35.15211340508900,136.9515851700090
2023,6,3,超市买菜,🛒生活费,JP¥2190,35.15340821006330,136.9503703847300
2023,6,4,坚果 化妆水白润 地板擦,🛒生活费,JP¥2267,35.13651118700790,136.9628379622890
2023,6,4,洗衣液 洗衣袋,🛒生活费,JP¥1279,35.13672201576260,136.9630755670470
2023,6,4,袜子,🛒生活费,JP¥990,35.13666459456360,136.9629681272070
2023,6,4,猕猴桃 鸡蛋,🛒生活费,JP¥1272,35.13696815826640,136.9633464922070
2023,6,5,麦茶,🛒生活费,JP¥186,35.15410217231120,136.9630075857760
2023,6,6,便当,🛒生活费,JP¥530,35.15399720119040,136.9630367507770
2023,6,7,果汁,🛒生活费,JP¥114,35.1545932291127,136.9618296934410
2023,6,7,外食,🛒生活费,JP¥1460,35.15082315233330,136.9660512448330
2023,6,8,咖啡,🛒生活费,JP¥110,35.15413956984190,136.9631489508480
2023,6,8,三明治,🛒生活费,JP¥298,35.15413669781680,136.9632896593680
2023,6,9,麦茶,🛒生活费,JP¥186,35.15410538704470,136.9630932008830
2023,6,9,食堂,🛒生活费,JP¥550,35.1535340007751,136.96276383395
2023,6,9,三明治,🛒生活费,JP¥320,35.1540840743437,136.9629892521880
2023,6,10,咖啡,🛒生活费,JP¥110,35.15418075646130,136.962801797261
2023,6,10,超市买菜,🛒生活费,JP¥2886,35.15313333059840,136.9501447726230
2023,6,10,防水喷雾 抽纸,🛒生活费,JP¥2395,35.15326786370460,136.9502677624750
2023,6,11,三明治,🛒生活费,JP¥298,35.15402964903720,136.9630830796680
2023,6,12,食堂,🛒生活费,JP¥572,35.15351825227880,136.9627397523340
2023,6,12,果汁,🛒生活费,JP¥108,35.15343124892220,136.9629162395390
2023,6,13,果汁,🛒生活费,JP¥114,35.15407454450200,136.9629964468300
2023,6,13,食堂,🛒生活费,JP¥715,35.15347171506720,136.9627648925640
2023,6,13,爽肤水 洗面奶 营养液,💊健康医药,JP¥15400,35.15454034238780,136.9614554363050
2023,6,13,龙角散,🛒生活费,JP¥257,35.15450177362980,136.9632968892350
2023,6,14,饭团,🛒生活费,JP¥128,35.1541308159083,136.963135320267
2023,6,14,食堂,🛒生活费,JP¥550,35.15355788187030,136.9627757106000
2023,6,14,茶,🛒生活费,JP¥108,35.15407275532330,136.9632292249630
2023,6,14,爱情辅导课,📖自我投资,CN¥86.00,35.15210469918650,136.958139429754
2023,6,16,食堂,🛒生活费,JP¥605,35.15209283199210,136.9581464210810
2023,6,16,外食,🛒生活费,CN¥50.00,35.15210601650790,136.9581567718820
2023,6,16,三明治,🛒生活费,JP¥436,35.15211419573600,136.9581654939980
2023,6,16,痘痘药,💊健康医药,JP¥3540,35.15889277585560,136.9586134106430
2023,6,16,食堂,🛒生活费,JP¥693,35.15428030915760,136.9617606656920
2023,6,17,物产配送,🛒生活费,CN¥291.00,35.1520939570818,136.9581280168420
2023,6,17,咖啡 麦茶,🛒生活费,JP¥296,35.15456030845880,136.9615469060040
2023,6,17,超市买菜,🛒生活费,JP¥5484,35.1527197346521,136.9505506678080
2023,6,18,便当,🛒生活费,JP¥530,35.15406705908030,136.9630703890110
2023,6,18,坚果 果汁,🛒生活费,JP¥472,35.15418793342100,136.9630837429520
2023,6,19,食堂,🛒生活费,JP¥583,35.15351197849880,136.9627399017690
2023,6,19,外食,🛒生活费,CN¥50.00,35.15201219360820,136.9581860863950
2023,6,20,便当 咖啡,🛒生活费,JP¥640,35.15410128091460,136.9630936505530
2023,6,22,外卖,🛒生活费,JP¥1238,35.15203251440900,136.9581733269470
2023,6,22,便利店,🛒生活费,JP¥437,35.15211713634670,136.9580802751220
2023,6,23,新干线,💼公费支出,JP¥18560,35.1565951996722,136.9657614640300
2023,6,24,八百鲜,🛒生活费,JP¥2440,35.15204505066870,136.951347123959
2023,6,24,超市买菜,🛒生活费,JP¥4926,35.15202685133040,136.9581636333420
2023,6,24,测试,🛒生活费,JP¥10,35.15203101098090,136.958268480503
2023,6,24,测试,🍻社交费,CN¥10.00,35.15203231017590,136.9582492859450
2023,6,25,饮料,🛒生活费,JP¥138,35.15409882649340,136.9631542918620
2023,6,25,地铁,🛒生活费,JP¥240,35.18005793264390,136.9608513047310
2023,6,25,スシロー,🛒生活费,JP¥1840,35.18321148123140,136.960411984601
2023,6,25,地铁,🛒生活费,JP¥240,35.15450765392520,136.9665192693620
2023,6,27,食堂,🛒生活费,JP¥517,35.15352758093620,136.9628025540570
2023,6,27,饮料,🛒生活费,JP¥348,35.1545779860995,136.9614902664070
2023,6,28,地铁,💼公费支出,JP¥240,35.19223085953780,136.936579943354
2023,6,28,地铁,💼公费支出,JP¥178,35.68222859705920,139.7753863271560
2023,6,28,地铁,💼公费支出,JP¥139,35.6642517241882,139.8592058008100
2023,6,28,地铁,🛒生活费,JP¥252,35.71056074201180,139.7978385390000
2023,6,28,水,🛒生活费,JP¥108,35.71092292133820,139.7970237738560
2023,6,28,祈福,🛒生活费,JP¥1155,35.71440291864750,139.7967468512270
2023,6,28,地铁,🛒生活费,JP¥178,35.71220458870380,139.7761050583200
2023,6,28,交通费,🛒生活费,JP¥672,35.91933683029940,139.618782196324
2023,6,28,埼玉県鉄道博物館,🛒生活费,JP¥1330,35.91931679755080,139.6187555418720
2023,6,28,铁博午饭,🛒生活费,JP¥1300,35.91926788914570,139.6185056773380
2023,6,28,铁博纪念品,🛒生活费,JP¥660,35.92137107628950,139.6177633759940
2023,6,28,交通,🛒生活费,JP¥189,35.90714714444220,139.6240082127860
2023,6,28,列车,🛒生活费,JP¥483,35.68967054601370,139.7014059686470
2023,6,28,水,🛒生活费,JP¥116,35.68908932880470,139.7085465578890
2023,6,28,Fuzz裤子,👔服饰•趣味费,JP¥26400,35.68878627468370,139.7102388735100
2023,6,28,地铁,🛒生活费,JP¥209,35.68244949028360,139.7726895606770
2023,6,28,地铁,🛒生活费,JP¥209,35.66433592382190,139.859432518865
2023,6,28,住宿费,💼公费支出,JP¥15800,35.66436900414190,139.858238697186
2023,6,28,衣服清新剂,🛒生活费,JP¥318,35.66460063076810,139.8598967123950
2023,6,29,地铁,🛒生活费,JP¥317,35.65642102960430,139.7559214346280
2023,6,29,轻轨去羽田机场,🛒生活费,JP¥492,35.54245759526950,139.7884652672890
2023,6,29,ANA纪念品,🛒生活费,JP¥3740,35.53699779843830,139.7940147166790
2023,6,29,轻轨回东京,🛒生活费,JP¥492,35.65581259000750,139.7570286751040
2023,6,29,电车,🛒生活费,JP¥208,35.68977452352240,139.7014537454950
2023,6,29,电车,🛒生活费,JP¥136,35.67882731673080,139.6936293795630
2023,6,29,电车,🛒生活费,JP¥178,35.69809034862220,139.774846329352
2023,6,29,过桥米线,🛒生活费,JP¥4180,35.70301322846940,139.7710216998690
2023,6,29,电车,🛒生活费,JP¥209,35.66448266329020,139.8591371998940
2023,6,30,地铁,🛒生活费,JP¥252,35.70186282394760,139.7457910016140
2023,6,30,星巴克,🛒生活费,JP¥490,35.70032889026760,139.7424922139750
2023,6,30,水,🛒生活费,JP¥116,35.69868624679350,139.7411743273400
2023,6,30,寿司,💼公费支出,JP¥1630,35.698604481328,139.7409480159540
2023,6,30,粤菜,🍻社交费,JP¥4170,35.69644630889940,139.760581534486
2023,6,30,お土産,🍻社交费,JP¥1137,35.68158655276070,139.7671542528350
2023,6,30,地铁,💼公费支出,JP¥240,35.15449121688590,136.9665259403330
2023,6,30,公斤,💼公费支出,JP¥210,35.15371631903890,136.9658500612850
2023,7,2,饮料 坚果,🛒生活费,JP¥496,35.15451664412260,136.9614861423780
2023,7,2,烤肉,🍻社交费,CN¥260.00,35.14310476405940,136.9555434516670
2023,7,3,饭团,🛒生活费,JP¥128,35.15408000912070,136.9630024955950
2023,7,3,食堂,🛒生活费,JP¥550,35.15353805332080,136.9627950964060
2023,7,3,超市买菜 纸巾,🛒生活费,JP¥3776,35.15307807832500,136.9501902536830
2023,7,7,饭团,🛒生活费,JP¥118,35.15406672380410,136.9630728197630
2023,7,8,坚果 意面,🛒生活费,JP¥827,35.13668551885730,136.9630241600170
2023,7,8,礼物包装盒,🛒生活费,JP¥220,35.13675177088220,136.9631067655860
2023,7,8,优衣库五分袖,🥳趣味费,JP¥1290,35.13669308914580,136.9629079450960
2023,7,8,公交地铁,🛒生活费,JP¥340,35.15448639210120,136.9665235644490
2023,7,8,便当,🛒生活费,JP¥535,35.15237484472680,136.9620139020990
2023,7,9,咖啡,🛒生活费,JP¥110,35.15406523608320,136.9631126281780
2023,7,9,便当,🛒生活费,JP¥404,35.15402200117820,136.9630421157010
2023,7,9,便当,🛒生活费,JP¥505,35.15706600517150,136.958622960557
2023,7,9,超市买菜,🛒生活费,JP¥6567,35.15207591158110,136.9581119468660
2023,7,10,和森田君第一次吃饭,🍻社交费,JP¥1900,35.15198813754610,136.9581740164540
2023,7,11,便当,🛒生活费,JP¥530,35.15396028616060,136.9633305598510
2023,7,12,《好的爱情》《好的孤独》,📖自我投资,JP¥1823,35.15451227604870,136.961451573512
2023,7,14,洗脸巾,💊健康医药费,JP¥1974,35.1546177265317,136.9616727900180
2023,7,14,咖啡 坚果,🛒生活费,JP¥468,35.15461156484120,136.9614999412870
2023,7,15,麦茶,🛒生活费,JP¥186,35.15454507666400,136.9617569959380
2023,7,15,保鲜袋,🛒生活费,JP¥250,35.15324737177610,136.9504357393260
2023,7,15,超市买菜,🛒生活费,JP¥6087,35.15315341355030,136.9501766495570
2023,7,15,封口夹,🛒生活费,JP¥1780,35.15207226942150,136.958070960545
2023,7,16,咖啡 便当,🛒生活费,JP¥640,35.15419461776320,136.9631672244950
2023,7,17,咖啡 麦茶,🛒生活费,JP¥296,35.15453354580730,136.9616402231940
2023,7,17,水,🛒生活费,JP¥111,35.15406057111820,136.9629911571420
2023,7,17,便当,🛒生活费,JP¥505,35.15697311498230,136.9585799548980
2023,7,18,意面,🍻社交费,CN¥70.00,35.15547308867490,136.94294405230900
2023,7,18,洗衣液,🛒生活费,JP¥1636,35.15452409905110,136.9619132105980
2023,7,19,咖啡 坚果,🛒生活费,JP¥468,35.15407978633460,136.9630959701970
2023,7,20,食堂,🛒生活费,JP¥704,35.15350760468530,136.9627976081640
2023,7,20,咖啡,🛒生活费,JP¥110,35.15405841705800,136.9631623100870
2023,7,21,聚餐,🍻社交费,JP¥1130,35.1540082181201,136.9629583229660
2023,7,21,咖啡,🛒生活费,JP¥110,35.15409371486020,136.9631202204260
2023,7,21,地铁,🍻社交费,JP¥240,35.16993829216110,136.9090765305520
2023,7,21,麻辣烫,🍻社交费,CN¥129.03,35.16607787718640,136.9154286701160
2023,7,21,唱歌,🍻社交费,JP¥1100,35.16811073432290,136.9148831027790
2023,7,22,地铁,🍻社交费,JP¥240,35.15208801930880,136.9581262903520
2023,7,22,咖啡 麦茶,🛒生活费,JP¥476,35.15409346207530,136.9630250429150
2023,7,22,シール剥がし,🛒生活费,JP¥855,35.15319908742720,136.9503189247620
2023,7,22,超市买菜,🛒生活费,JP¥7005,35.15196462630780,136.9580847491850
2023,7,23,咖啡 麦茶,🛒生活费,JP¥359,35.1540748123407,136.9629620110030
2023,7,23,保鲜膜,🛒生活费,JP¥413,35.14299163132450,136.9560766128240
2023,7,23,油淋鸡定食,🛒生活费,JP¥1000,35.14289295840860,136.9559047165680
2023,7,24,地铁,🛒生活费,JP¥210,35.15209468612580,136.9581474217840
2023,7,24,超市买菜,🛒生活费,JP¥967,35.15209976632610,136.9581133363260
2023,7,24,实验室饼干 坚果,🛒生活费,JP¥1456,35.15208949722630,136.9580839096450
2023,7,24,牙膏等,🛒生活费,JP¥1429,35.15210097059460,136.9581554098100
2023,7,24,洗碗刷,🛒生活费,JP¥299,35.15216571999390,136.9581123043050
2023,7,24,优衣库T恤,🥳趣味费,JP¥5270,35.15209372145410,136.9581451688570
2023,7,25,食堂,🛒生活费,JP¥583,35.15347534077740,136.9628356936220
2023,7,25,咖啡,🛒生活费,JP¥210,35.15405029446770,136.9631035566300
2023,7,26,咖啡 便当,🛒生活费,JP¥740,35.15483822719220,136.9616236873230
2023,7,26,饭团,🛒生活费,JP¥118,35.15452646489740,136.9617875110680
2023,7,27,食堂,🛒生活费,JP¥550,35.153555291762,136.9627994062130
2023,7,27,咖啡,🛒生活费,JP¥210,35.15408999442470,136.9631355930710
2023,7,27,咖啡,🛒生活费,JP¥3480,35.15472591494440,136.9615231115340
2023,7,28,Pilot强色墨水,🥳趣味费,JP¥1520,35.15479901044870,136.9614411353980
2023,7,28,食堂,🛒生活费,JP¥583,35.15353282470100,136.9627849232510
2023,7,28,咖啡,🛒生活费,JP¥110,35.15404151915230,136.9630809481870
2023,7,28,物产,🛒生活费,CN¥179.50,35.16548052899090,136.9127342106190
2023,7,29,一日券,🛒生活费,JP¥620,35.15453217113830,136.966516123812
2023,7,29,超市买菜,🛒生活费,JP¥738,35.13676863605120,136.963090438891
2023,7,29,浊酒,🛒生活费,JP¥770,35.13681677408340,136.9631404693360
2023,7,29,精油,🛒生活费,JP¥1790,35.13690260932680,136.9632594424560
2023,7,29,理发,🛒生活费,JP¥3300,35.13659059223420,136.9639727095290
2023,7,29,牛肉饭,🛒生活费,JP¥550,35.13696039833060,136.9641609532580
2023,7,29,八百鲜,🛒生活费,JP¥1202,35.15193738512240,136.9510084950710
2023,7,29,抹布 发蜡,🛒生活费,JP¥1094,35.15323927510970,136.9502733617420
2023,7,29,超市买菜,🛒生活费,JP¥5003,35.15334631297800,136.9503178313970
2023,7,30,麦茶,🛒生活费,JP¥149,35.15411385355390,136.9630360412140
2023,7,31,affinity全套全平台,🥳趣味费,CN¥128.00,35.15477100170070,136.9615715198330
2023,7,31,麦茶 咖啡,🛒生活费,JP¥396,35.15480417515970,136.9616444036450
2023,7,31,烤鸡串,🛒生活费,JP¥7216,35.157836533639700,136.93915296627600
2023,8,1,咖啡,🛒生活费,JP¥210,35.1543151429394,136.963176506484
2023,8,2,外卖,🛒生活费,JP¥1766,35.15203970544280,136.9581563768980
2023,8,3,体重计,💊健康医药费,JP¥8225,35.15214079903590,136.9581280731530
2023,8,3,蓝牙Wi-Fi体重计,💊健康医药费,JP¥6900,35.15202828686230,136.9580806420530
2023,8,3,发烧外卖,🛒生活费,JP¥3411,35.15207977104820,136.9582459428340
2023,8,5,康泰克,💊健康医药费,JP¥1628,35.15203583057530,136.9582083822570
2023,8,5,超市买菜,🛒生活费,JP¥5997,35.15203583057530,136.9582083822570
2023,8,5,便利店,🛒生活费,JP¥605,35.15424635629660,136.9627632963220
2023,8,7,便当,🛒生活费,JP¥644,35.15407412464000,136.9631765174700
2023,8,8,龙角散,🛒生活费,JP¥257,35.15409815594100,136.9630219416110
2023,8,8,便当,🛒生活费,JP¥568,35.15430221774090,136.9627950949690
2023,8,8,Obsidian同步服务一年,📖自我投资,CN¥414.00,35.15479788976170,136.9614851500880
2023,8,8,坚果,🛒生活费,JP¥358,35.15404941517410,136.9629869052550
2023,8,8,超市买菜 抽纸,🛒生活费,JP¥1824,35.15211084860860,136.9580793009480
2023,8,9,食堂,🛒生活费,JP¥583,35.15467678321030,136.9615269301450
2023,8,9,外食,🛒生活费,JP¥980,35.15106010723000,136.9662063037150
2023,8,10,饮料,🛒生活费,JP¥138,35.15409007065760,136.9631174793230
2023,8,11,外卖,🛒生活费,JP¥2069,35.15461155641030,136.9616494488530
2023,8,12,饮料,🐼特别支出,JP¥105,35.14485127872270,136.9576180026810
2023,8,12,地铁,🐼特别支出,JP¥240,35.14346870276300,136.9014387572960
2023,8,12,电车,🐼特别支出,JP¥410,35.02024234741460,136.8927457184870
2023,8,12,晚饭,🐼特别支出,JP¥1600,35.02372806975220,136.90090164259300
2023,8,12,电车,🐼特别支出,JP¥410,35.14306610453420,136.9010340796200
2023,8,12,地铁,🐼特别支出,JP¥240,35.14887690626610,136.9477769130350
2023,8,12,便利店宵夜,🐼特别支出,JP¥1060,35.15290428705740,136.95327270042600
2023,8,12,看烟花打卡,🛸其他,JP¥0,35.0249305587528,136.9027686097670
2023,8,13,超市买菜,🛒生活费,JP¥1762,35.13688286650250,136.9633332941530
2023,8,13,坚果 调味料,🛒生活费,JP¥1159,35.13650066191420,136.9629886775210
2023,8,13,替芯,🥳趣味费,JP¥215,35.13672215064810,136.9630723784760
2023,8,13,书签 活页,🥳趣味费,JP¥270,35.13669344373050,136.9630531830620
2023,8,13,钙片,💊健康医药费,JP¥1055,35.13731184491800,136.9633831807630
2023,8,13,公交,🛒生活费,JP¥210,35.13737617529480,136.9634000492630
2023,8,13,超市买菜,🛒生活费,JP¥6325,35.1548011312558,136.9614577533020
2023,8,14,便利店,🛒生活费,JP¥618,35.15468471610070,136.9615150674300
2023,8,14,外卖,🛒生活费,JP¥1909,35.15201866746140,136.9581663709670
2023,8,16,麦茶,🛒生活费,JP¥149,35.15399556915030,136.9629907727180
2023,8,16,外卖,🛒生活费,JP¥2630,35.15207732778200,136.9581916699780
2023,8,17,咖啡 水,🛒生活费,JP¥245,35.15403789301630,136.9630577628670
2023,8,17,便利店,🛒生活费,JP¥412,35.15399496337810,136.9631420394370
2023,8,18,饮料,🛒生活费,JP¥138,35.15407886500100,136.9630182380810
2023,8,18,超市买菜,🛒生活费,JP¥5499,35.1535068964913,136.9504371007320
2023,8,20,外卖,🛒生活费,JP¥1766,35.15209122525780,136.9581719668490
2023,8,21,嫌われる勇気,📖自我投资,JP¥1650,35.15485154375320,136.9614316271180
2023,8,21,饮料,🛒生活费,JP¥172,35.15406122900890,136.9630739229390
2023,8,21,麻婆茄子,🛒生活费,JP¥780,35.1509816438313,136.9660869216580
2023,8,22,心理咨询,💊健康医药费,CN¥1200.00,35.15206980225630,136.9581010079790
2023,8,23,饮料,🛒生活费,JP¥136,35.15397013191250,136.963069082325
2023,8,24,便利店,🛒生活费,JP¥300,35.15485327621610,136.9613634567420
2023,8,24,麦茶,🛒生活费,JP¥138,35.15406693335170,136.962925382086
2023,8,25,食堂,🛒生活费,JP¥693,35.15488097350280,136.9613427495300
2023,8,25,水,🛒生活费,JP¥116,35.15417388863790,136.9629818764210
2023,8,26,蟹棒,🛒生活费,JP¥138,35.1590152879211,136.96032495097900
2023,8,26,地铁,🛒生活费,JP¥210,35.15441436774150,136.9665435793480
2023,8,26,超市买菜,🛒生活费,JP¥1936,35.13705797750140,136.9633292762430
2023,8,26,净水器,🛒生活费,JP¥7678,35.13650834248240,136.9628911772020
2023,8,26,地铁,🛒生活费,JP¥210,35.14903616490000,136.9478672811040
2023,8,26,超市买菜,🛒生活费,JP¥3423,35.15348733582700,136.9503773537400
2023,8,26,出霉剂,🛒生活费,JP¥259,35.15338446794380,136.950327819852
2023,8,27,饮料,🛒生活费,JP¥113,35.15398907262070,136.9630108736660
2023,8,27,牛肉饭,🛒生活费,JP¥590,35.15970556536820,136.9590276023590
2023,8,28,食堂,🛒生活费,JP¥700,35.15336830172240,136.9630709757440
2023,8,28,便利店,🛒生活费,JP¥644,35.1539089771882,136.9631168666440
2023,8,28,葡萄,🛒生活费,JP¥480,35.19146372205890,136.9040484499690
2023,8,28,酒精,🛒生活费,JP¥871,35.19454902466090,136.9034859726910
2023,8,28,衣服芳香剂,🛒生活费,JP¥14,35.19356501460840,136.9035285606310
2023,8,28,肯德基,🛒生活费,JP¥760,35.19281311895260,136.9037030452280
2023,8,29,食堂,🛒生活费,JP¥627,35.15357720192810,136.9627961726580
2023,8,29,维生素,💊健康医药费,JP¥2820,35.15213807715670,136.9581596779100
2023,8,29,起泡网,🛒生活费,JP¥1320,35.1521340881385,136.9581611830470
2023,8,30,食堂,🛒生活费,JP¥649,35.15325380492500,136.9629521203570
2023,8,31,食堂,🛒生活费,JP¥580,35.1535087453492,136.962875120458
2023,8,31,坚果,🛒生活费,JP¥350,35.15432505405990,136.9622651395730
2023,9,1,外卖,🛒生活费,JP¥1898,35.15200267199290,136.9581580555170
2023,9,2,水,🛒生活费,JP¥116,35.15722682837570,136.9060356776150
2023,9,2,地铁,🛒生活费,JP¥270,35.15719985,136.90614318
2023,9,2,兰州牛肉拉面,🍻社交费,CN¥77.00,35.1377410992484,136.9627837464840
2023,9,2,地铁,🛒生活费,JP¥240,35.14698811998000,136.9503620520660
2023,9,2,MacBook Pro M2 Max,🐼特别支出,JP¥525200,35.15206446044680,136.9580998854930
2023,9,2,AppleCare+,🐼特别支出,JP¥47800,35.15205278138480,136.9581239968780
2023,9,3,超市买菜,🛒生活费,JP¥4801,35.15212358385810,136.958188321124
2023,9,3,维生素C 牙膏等,💊健康医药费,JP¥4960,35.1448271488595,136.9574625057650
2023,9,3,味增 咖啡滤纸,🛒生活费,JP¥826,35.14523141438910,136.9584247811410
2023,9,3,升哥婚礼礼金,🍻社交费,CN¥300.00,35.15205382254640,136.9581193149670
2023,9,4,食堂,🛒生活费,JP¥550,35.15348751692380,136.9629850201850
2023,9,4,肥肠炒刀削,🛒生活费,JP¥880,35.15080265488540,136.9659634462420
2023,9,5,包子,🛒生活费,JP¥180,35.15402891464670,136.9631712501120
2023,9,5,食堂 茶,🛒生活费,JP¥785,35.15339223191890,136.9629254318690
2023,9,5,面包,🛒生活费,JP¥128,35.15414421449900,136.9631451555870
2023,9,6,冷楽天スーパー,🛒生活费,JP¥6048,35.15477608617110,136.9613317619850
2023,9,7,便当,🛒生活费,JP¥770,35.15720854789800,136.9585395397560
2023,9,7,地铁,🛒生活费,JP¥420,35.1372521316508,136.9634087582990
2023,9,7,饼干 坚果,🛒生活费,JP¥1172,35.13649292918930,136.962964406748
2023,9,7,无印抽纸,🛒生活费,JP¥498,35.13677809279470,136.9630855210610
2023,9,7,理发,🛒生活费,JP¥3960,35.13660182082310,136.963968607001
2023,9,10,名古屋-冲绳 机票,🐼特别支出,JP¥1360,35.15212416651540,136.9580813775870
2023,9,10,水,🛒生活费,JP¥105,35.136938284338,136.9633483666810
2023,9,10,饼干,🛒生活费,CN¥766.00,35.13669437329340,136.9631206428220
2023,9,10,饼干,🐼特别支出,JP¥766,35.13679119698550,136.9631431993670
2023,9,10,无印分装瓶,🛒生活费,JP¥960,35.13677184281970,136.9631730822730
2023,9,10,透明密封袋,🐼特别支出,JP¥110,35.13695181951790,136.9631422422730
2023,9,10,防晒服,🥳趣味费,JP¥3990,35.13662544098820,136.9629238820330
2023,9,10,旅行装牙刷,🛒生活费,JP¥261,35.13665275338890,136.9630117942150
2023,9,10,交通,🛒生活费,JP¥340,35.15450114063320,136.9665114669380
2023,9,12,饮料,🛒生活费,JP¥138,35.15402045810410,136.9630300607060
2023,9,12,饮料,🛒生活费,JP¥138,35.15404778070300,136.9630375319510
2023,9,13,地铁 机场线,🐼特别支出,JP¥1460,34.8612472954994,136.8139204341280
2023,9,13,水,🐼特别支出,JP¥120,34.86098358539240,136.8140468866780
2023,9,13,OKICA手续费,🐼特别支出,JP¥500,26.20645180812680,127.6522777510130
2023,9,13,交通费,🐼特别支出,JP¥270,26.21170402633510,127.6755089566770
2023,9,13,公交,🐼特别支出,JP¥1410,26.2113475593955,127.676480274318
2023,9,13,包子 饭团,🐼特别支出,JP¥340,26.32844894195570,127.9019455612900
2023,9,13,公交,🐼特别支出,JP¥200,26.32956134623510,127.9027250782850
2023,9,13,酒店晚饭,🐼特别支出,JP¥2420,26.32037167964620,127.9652889811530
2023,9,14,咖啡 水,🐼特别支出,JP¥370,26.32038327171960,127.9653014956070
2023,9,14,水 罗森炸鸡,🐼特别支出,JP¥598,26.34054009877870,127.954803554468
2023,9,14,イマイユ煮付定食,🐼特别支出,JP¥1700,26.338862773146822,127.95795467384565
2023,9,14,洗衣服,🐼特别支出,JP¥300,26.32046325134700,127.9653937184510
2023,9,14,酒店晚饭,🐼特别支出,JP¥2695,26.32032717114900,127.9652950634510
2023,9,15,酒店晚饭,🐼特别支出,JP¥1760,26.32021238098510,127.9653295130730
2023,9,15,咖啡 饮料,🐼特别支出,JP¥400,26.32024368739340,127.9653253221210
2023,9,16,住宿费,🐼特别支出,JP¥49930,26.32122554353100,127.9658270628450
2023,9,16,口罩,🐼特别支出,JP¥327,26.32909489331390,127.9024816678170
2023,9,16,公交,🐼特别支出,JP¥700,26.3387539051621,127.8148479481490
2023,9,16,公交,🐼特别支出,JP¥430,26.31736529182580,127.7568073352160
2023,9,16,牛排套餐,🐼特别支出,JP¥4818,26.31568468578540,127.7546263639450
2023,9,16,咖啡,🐼特别支出,JP¥129,26.319589019430100,127.7599212095310
2023,9,16,公交,🐼特别支出,JP¥740,26.21747145431700,127.6912014653230
2023,9,16,杯子2个 琉球ガラス,🐼特别支出,JP¥4620,26.21617488454650,127.6887651809190
2023,9,16,ソーキそば,🐼特别支出,JP¥960,26.17646902801100,127.6401828323750
2023,9,16,お土産,🐼特别支出,JP¥2649,26.20511249838930,127.6500233560080
2023,9,16,冰箱贴,🐼特别支出,JP¥550,26.20512521344490,127.649992840176
2023,9,16,海ぶどう,🐼特别支出,JP¥1080,26.20511870527590,127.6499664945500
2023,9,16,公交,🐼特别支出,JP¥600,26.20511543939470,127.6499651839280
2023,9,16,机场线,🐼特别支出,JP¥1190,34.86008607095770,136.8161781825620
2023,9,16,地铁,🐼特别支出,JP¥270,35.15449548667280,136.9665296505000
