年,月,日,描述,类别,金额,纬度,经度
23,1,6,买模型全部,👔服饰•趣味费,JP¥5192,35.15202881,136.9581842
23,1,6,东北大冷面,🍻社交费,CN¥158.00,35.15202881,136.9581842
23,1,6,面条 手抓饼 油条,🛒生活费,JP¥2441,35.15202881,136.9581842
23,1,6,公交地铁,🍻社交费,JP¥481,35.15202881,136.9581842
23,1,6,裤子退货総费,👔服饰•趣味费,JP¥1280,35.15202881,136.9581842
23,1,6,爽肤水 保湿啫喱,💊健康医药费,JP¥6300,35.15202881,136.9581842
23,1,6,《小狗钱钱》,📖自我投资,JP¥1015,35.15202881,136.9581842
23,1,6,超市,🛒生活费,JP¥734,35.15202881,136.9581842
23,1,6,麻辣串串,🍻社交费,JP¥1500,35.16502401,136.9090102
23,1,6,扎带,🛒生活费,JP¥110,35.171114,136.9096018
23,1,6,山ちゃん  名物,🍻社交费,JP¥3200,35.16810992,136.9134547
23,1,6,超市,🛒生活费,JP¥287,35.15356906,136.9505988
23,1,6,United Tokyo,👔服饰•趣味费,JP¥25180,35.15202881,136.9581842
