日期,描述,类别,金额 (JPY),备注,反思,位置
23.1.6,西本智实音乐会门票,🐼特别支出,JP¥	6400,,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,买模型全部,👔服饰•趣味费,JP¥	5192,,真浪费,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,东北大冷面,🍻社交费,JP¥	3150,CN¥158,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,面条 手抓饼 油条,🛒生活费,JP¥	2441,,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,公交地铁,🍻社交费,JP¥	481,,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,裤子退货総费,👔服饰•趣味费,JP¥	1280,,真浪费,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,爽肤水 保湿啫喱,💊健康医药费,JP¥	6300,,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,《小狗钱钱》,📖自我投资,JP¥	1015,,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,超市,🛒生活费,JP¥	734,,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
23.1.6,麻辣串串,🍻社交费,JP¥	1500,名古屋市春节祭,,日本  爱知县  名古屋市中区  荣3-16-10 #35.165024010314454#136.90901018716892
23.1.6,扎带,🛒生活费,JP¥	110,,,日本  爱知县  名古屋市东区  东樱1-11-1 #35.17111400270171#136.90960181094766
23.1.6,山ちゃん  名物,🍻社交费,JP¥	3200,湯君と,,日本  爱知县  名古屋市中区  荣5-1-5 #35.16810991603717#136.91345472767497
23.1.6,超市,🛒生活费,JP¥	287,,,日本  爱知县  名古屋市昭和区  川原通5-2-3 #35.153569057513344#136.95059877471817
23.1.6,United Tokyo,👔服饰•趣味费,JP¥	25180,裤子13200，衬衣14080，共优惠8920円，所以UT的衣服一定要在打折时购买才划算,,日本  爱知县  名古屋市昭和区  前山町3-22 #35.1520288113432#136.95818418276403
